코드군,명칭,코드테이블,개별코드
INVG_TRGT_DCLR_NO_TPCD_13,조사대상신고번호구분코드_13,,N
INVG_TRGT_BSOP_TPCD,조사대상업무구분코드,,N
INVG_LN_TPCD,조사란구분코드,,N
INVG_EMP_EDCT_CD,조사직원교육코드,,N
INVG_EMP_SPCL_RLM_CD,조사직원전문분야코드,,N
INVG_RELE_RCD,조사해제사유코드,,N
ADDR_VRBL_RCD,주소변동사유코드,,N
WGHT_QTY_UT_CD,중량수량단위코드,,N
WGHT_QTY_UT_CD_01,중량수량단위코드_01,,N
IMPO_PRLST_CD,중요품목코드,,N
IMDT_RLSE_TRGT_PRLST_TPCD,즉시반출대상품목구분코드,,N
ACQU_RLCD,지인관계코드,,N
OFAT_EXCA_TRGT_ENTS_RCD,직권정산대상업체사유코드,,N
CLPS_CD,직급코드,,N
JBLN_CD,직렬코드,,N
DUTY_ASSN_TPCD,직무보조자구분코드,,N
JOB_CLSF_CD,직업분류코드,,N
JOB_CD,직업코드,,N
EMP_DSCP_KCD,직원징계종류코드,,N
OFPO_CD,직위코드,,N
OFPO_CD_01,직위코드_01,,N
COLT_FORM_CD,징수형태코드,,N
VHCL_CLR_CD,차량색상코드,,N
VHCL_USG_CD,차량용도코드,,N
DLPY_OCRN_RCD,체납발생사유코드,,N
OVGD_PBAC_GBOO_TPCD,체화공매불출구분코드,,N
OVGD_RELE_RCD,체화해제사유코드,,N
ADIT_ADCH_PAY_RCD,추가추징납부사유코드,,N
ADIT_DRWB_RCD,추가환급사유코드,,N
ADCH_NFCPN_DTL_RCD,추징고지상세사유코드,,N
ADCH_NFCPN_DTL_RCD_01,추징고지상세사유코드_01,,N
ADCH_NFCPN_DTL_RCD_02,추징고지상세사유코드_02,,N
ADCH_NFCPN_DTL_RCD_03,추징고지상세사유코드_03,,N
ADCH_NFCPN_DTL_RCD_04,추징고지상세사유코드_04,,N
ADCH_ITT_TPCD,추징기관구분코드,,N
ADCH_OCRN_CSE_TPCD,추징발생원인구분코드,,N
ADCH_RCD,추징사유코드,,N
TKOF_MNFS_MDFY_ITEM_CD,출항적하목록정정항목코드,,N
TKOF_MNFS_MDFY_ITEM_CD_01,출항적하목록정정항목코드_01,,N
TKOF_MNFS_MDFY_ITEM_CD_02,출항적하목록정정항목코드_02,,N
TKOF_MNFS_MDFY_ITEM_CD_03,출항적하목록정정항목코드_03,,N
TKOF_MNFS_MDFY_ITEM_CD_04,출항적하목록정정항목코드_04,,N
CNTR_DTCT_LOCT_CD,컨테이너검색기위치코드,,N
CNTR_LEN_CD,컨테이너길이코드,,N
CNTR_WIDT_HIGT_CD,컨테이너너비높이코드,,N
CNTR_KCD,컨테이너종류코드,,N
FSTA_SHIP_USG_KCD,통계용선박용도종류코드,,N
ECM_USE_STOP_RCD,통관고유부호사용정지사유코드,,N
